	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TMCO1	1718.758	0.936	0.06	15.612	0.0	0.0
TMCO2	0.381	-0.022	0.061	-0.359	0.719	
TMCO3	970.148	0.036	0.066	0.547	0.584	0.708
TMCO4	204.373	0.119	0.12	0.994	0.32	0.459
TMCO5A	0.0					
TMCO5B	0.238	0.013	0.049	0.265	0.791	
TMCO6	463.897	0.141	0.089	1.582	0.114	0.208
TMCO7	500.662	-0.286	0.084	-3.427	0.001	0.002
TMED1	569.633	0.205	0.081	2.542	0.011	0.03
TMED10	5380.921	0.044	0.052	0.84	0.401	0.543
TMED10P1	436.931	0.028	0.09	0.308	0.758	0.842
TMED11P	0.0					
TMED2	5252.36	-0.147	0.051	-2.892	0.004	0.012
TMED3	1300.912	0.075	0.063	1.188	0.235	0.364
TMED4	1459.863	0.068	0.059	1.15	0.25	0.382
TMED5	3997.293	0.16	0.069	2.306	0.021	0.052
TMED6	11.881	0.445	0.202	2.204	0.028	0.065
TMED7	2340.527	0.387	0.064	6.072	0.0	0.0
TMED7-TICAM2	19.198	0.019	0.208	0.092	0.926	0.955
TMED8	169.893	0.245	0.125	1.952	0.051	0.109
TMED9	2942.031	-0.061	0.059	-1.032	0.302	0.439
TMEFF1	63.966	0.422	0.18	2.347	0.019	0.048
TMEFF2	22.853	-0.208	0.207	-1.006	0.314	0.452
TMEM100	117.344	0.407	0.142	2.87	0.004	0.013
TMEM101	891.773	0.188	0.079	2.379	0.017	0.044
TMEM102	135.151	-0.269	0.141	-1.902	0.057	0.12
TMEM104	705.569	-0.352	0.091	-3.876	0.0	0.001
TMEM105	3.742	0.036	0.151	0.239	0.811	0.877
TMEM106A	3.913	0.095	0.162	0.585	0.558	0.686
TMEM106B	1687.096	0.308	0.073	4.232	0.0	0.0
TMEM106C	4285.654	-0.348	0.052	-6.696	0.0	0.0
TMEM107	293.586	0.17	0.101	1.679	0.093	0.177
TMEM108	350.023	0.186	0.102	1.832	0.067	0.136
TMEM109	1677.014	-0.001	0.06	-0.01	0.992	0.995
TMEM11	1232.49	-0.12	0.068	-1.77	0.077	0.152
TMEM110	714.684	-0.437	0.074	-5.899	0.0	0.0
TMEM110-MUSTN1	0.0					
TMEM111	1312.401	-0.218	0.065	-3.367	0.001	0.003
TMEM114	0.0					
TMEM115	1195.578	-0.189	0.074	-2.548	0.011	0.03
TMEM116	162.797	-0.034	0.129	-0.261	0.794	0.866
TMEM117	240.817	-0.206	0.11	-1.873	0.061	0.126
TMEM119	4.144	0.159	0.165	0.967	0.334	0.474
TMEM120A	286.521	-0.362	0.104	-3.48	0.001	0.002
TMEM120B	1074.18	0.001	0.072	0.02	0.984	0.991
TMEM121	90.023	0.154	0.156	0.991	0.322	0.461
TMEM123	5736.701	0.188	0.061	3.094	0.002	0.007
TMEM125	0.0					
TMEM126A	421.594	-0.232	0.095	-2.436	0.015	0.039
TMEM126B	1088.414	-0.014	0.077	-0.18	0.857	0.909
TMEM127	1344.548	-0.431	0.062	-6.909	0.0	0.0
TMEM128	678.903	0.112	0.074	1.506	0.132	0.234
TMEM129	1142.568	0.081	0.072	1.126	0.26	0.393
TMEM130	12.446	0.398	0.205	1.941	0.052	0.111
TMEM131	2094.576	-0.131	0.055	-2.391	0.017	0.043
TMEM132A	852.604	0.078	0.078	1.006	0.314	0.452
TMEM132B	20.706	0.466	0.208	2.244	0.025	0.06
TMEM132C	0.0					
TMEM132D	0.191	-0.012	0.046	-0.267	0.789	
TMEM132E	537.349	0.369	0.086	4.303	0.0	0.0
TMEM133	90.117	0.321	0.156	2.051	0.04	0.09
TMEM134	213.404	-0.215	0.118	-1.82	0.069	0.139
TMEM135	922.531	0.318	0.069	4.581	0.0	0.0
TMEM136	773.721	-0.039	0.071	-0.545	0.585	0.709
TMEM138	567.258	-0.028	0.081	-0.35	0.726	0.817
TMEM139	2.823	0.006	0.14	0.046	0.963	0.978
TMEM140	5.621	0.209	0.174	1.199	0.231	0.359
TMEM141	631.8	0.119	0.078	1.53	0.126	0.225
TMEM143	678.595	-0.008	0.084	-0.1	0.921	0.952
TMEM144	403.172	0.086	0.092	0.928	0.354	0.494
TMEM145	201.509	-0.53	0.125	-4.224	0.0	0.0
TMEM147	1595.638	-0.089	0.072	-1.231	0.219	0.344
TMEM14A	577.547	-0.227	0.081	-2.81	0.005	0.015
TMEM14B	1131.653	-0.109	0.065	-1.673	0.094	0.179
TMEM14C	1674.114	0.03	0.058	0.523	0.601	0.721
TMEM14E	0.167	-0.01	0.042	-0.246	0.806	
TMEM150A	168.937	-0.271	0.128	-2.115	0.034	0.079
TMEM150B	2.44	0.012	0.131	0.089	0.929	
TMEM150C	102.935	0.81	0.151	5.358	0.0	0.0
TMEM151A	11.365	0.466	0.201	2.313	0.021	0.051
TMEM151B	15.195	0.405	0.206	1.97	0.049	0.105
TMEM154	35.118	-0.112	0.195	-0.575	0.565	0.691
TMEM155	35.924	0.106	0.198	0.538	0.591	0.714
TMEM156	4.71	-0.027	0.171	-0.158	0.874	0.922
TMEM158	136.187	0.661	0.136	4.873	0.0	0.0
TMEM159	236.403	0.086	0.114	0.756	0.45	0.59
TMEM160	563.961	-0.153	0.087	-1.758	0.079	0.155
TMEM161A	983.017	-0.1	0.071	-1.41	0.159	0.27
TMEM161B	977.49	0.143	0.07	2.048	0.041	0.09
TMEM163	104.655	0.43	0.15	2.858	0.004	0.013
TMEM164	3384.242	-0.027	0.049	-0.561	0.575	0.699
TMEM165	1313.105	-0.107	0.065	-1.659	0.097	0.183
TMEM167A	4945.249	0.077	0.063	1.213	0.225	0.352
TMEM167B	1224.459	0.135	0.065	2.07	0.038	0.086
TMEM168	914.551	0.041	0.074	0.551	0.581	0.705
TMEM169	27.539	0.092	0.203	0.454	0.65	0.761
TMEM17	105.86	-0.481	0.152	-3.171	0.002	0.005
TMEM170A	240.404	0.018	0.108	0.167	0.867	0.916
TMEM170B	2138.803	-0.126	0.069	-1.832	0.067	0.136
TMEM171	45.034	0.39	0.19	2.051	0.04	0.09
TMEM173	702.248	-0.258	0.084	-3.089	0.002	0.007
TMEM174	0.0					
TMEM175	317.485	-0.006	0.105	-0.06	0.952	0.971
TMEM176A	4.406	-0.319	0.166	-1.915	0.056	0.117
TMEM176B	12.464	-0.198	0.205	-0.966	0.334	0.474
TMEM177	555.546	-0.267	0.086	-3.089	0.002	0.007
TMEM178	45.133	0.78	0.19	4.109	0.0	0.0
TMEM179	12.153	0.004	0.205	0.022	0.983	0.989
TMEM179B	608.443	-0.419	0.089	-4.721	0.0	0.0
TMEM18	634.602	-0.025	0.078	-0.317	0.751	0.837
TMEM180	358.437	-0.47	0.096	-4.877	0.0	0.0
TMEM181	2170.316	-0.039	0.057	-0.689	0.491	0.627
TMEM182	201.529	0.3	0.121	2.48	0.013	0.035
TMEM183A	186.881	-0.186	0.127	-1.473	0.141	0.246
TMEM183B	0.0					
TMEM184A	46.695	-0.925	0.186	-4.978	0.0	0.0
TMEM184B	2094.304	-0.41	0.065	-6.304	0.0	0.0
TMEM184C	1028.152	-0.115	0.067	-1.705	0.088	0.17
TMEM185A	186.19	-0.079	0.121	-0.649	0.516	0.65
TMEM185B	1671.281	-0.159	0.056	-2.85	0.004	0.014
TMEM186	364.231	0.017	0.092	0.186	0.853	0.906
TMEM187	108.717	0.121	0.146	0.829	0.407	0.548
TMEM189	690.673	-0.112	0.076	-1.476	0.14	0.245
TMEM189-UBE2V1	0.104	0.009	0.042	0.226	0.821	
TMEM19	961.789	-0.241	0.073	-3.299	0.001	0.004
TMEM190	0.799	0.086	0.082	1.041	0.298	
TMEM191A	15.939	-0.386	0.207	-1.86	0.063	0.129
TMEM191B	7.122	0.168	0.189	0.889	0.374	0.516
TMEM191C	3.337	-0.034	0.149	-0.232	0.817	0.881
TMEM192	854.968	-0.06	0.069	-0.862	0.388	0.53
TMEM194A	3819.93	-0.169	0.054	-3.133	0.002	0.006
TMEM194B	195.562	0.299	0.121	2.479	0.013	0.035
TMEM196	0.0					
TMEM198	218.418	0.286	0.117	2.443	0.015	0.038
TMEM198B	552.288	0.375	0.086	4.337	0.0	0.0
TMEM199	959.471	-0.635	0.066	-9.63	0.0	0.0
TMEM2	848.595	0.066	0.075	0.876	0.381	0.522
TMEM200A	15.437	0.491	0.207	2.37	0.018	0.045
TMEM200B	58.887	-0.037	0.176	-0.208	0.835	0.893
TMEM200C	108.591	-0.063	0.15	-0.42	0.674	0.779
TMEM201	1297.871	-0.308	0.072	-4.258	0.0	0.0
TMEM202	0.0					
TMEM203	1078.6	-0.205	0.073	-2.786	0.005	0.016
TMEM204	0.949	-0.001	0.089	-0.009	0.993	
TMEM205	696.606	0.051	0.074	0.682	0.495	0.631
TMEM206	455.826	0.376	0.088	4.266	0.0	0.0
TMEM207	0.0					
TMEM208	335.151	-0.268	0.097	-2.77	0.006	0.017
TMEM209	1546.626	-0.108	0.058	-1.884	0.06	0.124
TMEM211	0.0					
TMEM212	0.16	0.0	0.042	0.0	1.0	
TMEM213	0.0					
TMEM214	1415.4	-0.057	0.068	-0.836	0.403	0.544
TMEM215	0.167	-0.01	0.042	-0.246	0.806	
TMEM216	324.705	0.219	0.106	2.066	0.039	0.087
TMEM217	38.555	0.232	0.196	1.185	0.236	0.366
TMEM218	340.957	0.006	0.098	0.064	0.949	0.969
TMEM219	779.091	-0.302	0.075	-4.015	0.0	0.0
TMEM22	715.673	0.634	0.074	8.615	0.0	0.0
TMEM220	77.298	-0.005	0.164	-0.032	0.975	0.985
TMEM221	32.845	0.186	0.201	0.927	0.354	0.495
TMEM222	887.077	-0.425	0.076	-5.565	0.0	0.0
TMEM223	308.144	-0.018	0.104	-0.171	0.864	0.914
TMEM225	0.0					
TMEM229A	15.044	-0.311	0.207	-1.504	0.133	0.235
TMEM229B	57.008	0.951	0.178	5.343	0.0	0.0
TMEM231	249.134	0.201	0.106	1.908	0.056	0.118
TMEM232	18.982	-0.102	0.208	-0.492	0.623	0.739
TMEM233	1.976	0.065	0.119	0.541	0.588	
TMEM234	269.512	-0.417	0.106	-3.929	0.0	0.0
TMEM235	0.134	0.0	0.042	0.0	1.0	
TMEM236	4.811	-0.254	0.17	-1.493	0.135	0.239
TMEM237	2161.302	-0.227	0.059	-3.871	0.0	0.001
TMEM238	1.992	-0.054	0.123	-0.436	0.663	
TMEM239	0.104	0.009	0.042	0.226	0.821	
TMEM240	2.982	-0.114	0.147	-0.775	0.438	0.579
TMEM241	602.102	-0.02	0.084	-0.234	0.815	0.879
TMEM242	686.911	0.058	0.074	0.777	0.437	0.578
TMEM244	0.0					
TMEM25	474.609	-0.029	0.095	-0.309	0.757	0.841
TMEM26	0.752	0.044	0.084	0.522	0.602	
TMEM27	83.29	0.224	0.162	1.381	0.167	0.282
TMEM30A	4510.146	0.353	0.059	5.973	0.0	0.0
TMEM30B	0.0					
TMEM30C	0.112	0.009	0.042	0.226	0.821	
TMEM31	21.766	0.053	0.207	0.254	0.799	0.87
TMEM33	2898.14	-0.162	0.055	-2.965	0.003	0.01
TMEM35	113.262	0.55	0.147	3.745	0.0	0.001
TMEM37	129.198	0.195	0.136	1.432	0.152	0.261
TMEM38A	112.536	0.407	0.147	2.769	0.006	0.017
TMEM38B	1423.661	0.062	0.074	0.836	0.403	0.545
TMEM39A	1100.677	0.437	0.064	6.822	0.0	0.0
TMEM39B	546.844	0.025	0.09	0.277	0.782	0.858
TMEM40	1.75	0.012	0.117	0.102	0.919	
TMEM41A	982.077	0.05	0.069	0.73	0.465	0.604
TMEM41B	1602.853	0.288	0.055	5.223	0.0	0.0
TMEM42	389.386	0.244	0.094	2.594	0.009	0.027
TMEM43	2212.57	-0.081	0.052	-1.56	0.119	0.215
TMEM44	207.702	0.363	0.116	3.128	0.002	0.006
TMEM45A	612.382	0.025	0.084	0.298	0.765	0.848
TMEM45B	5.509	0.092	0.166	0.555	0.579	0.703
TMEM47	43.689	0.014	0.191	0.075	0.941	0.965
TMEM48	4767.152	-0.216	0.049	-4.377	0.0	0.0
TMEM5	555.07	-0.185	0.081	-2.299	0.021	0.053
TMEM50A	3589.53	-0.058	0.055	-1.049	0.294	0.431
TMEM50B	726.632	-0.169	0.074	-2.28	0.023	0.055
TMEM51	289.627	-0.058	0.101	-0.567	0.571	0.696
TMEM52	70.583	0.003	0.168	0.015	0.988	0.993
TMEM53	97.993	-0.09	0.15	-0.605	0.545	0.675
TMEM54	203.9	0.428	0.12	3.55	0.0	0.002
TMEM55A	237.401	0.257	0.117	2.198	0.028	0.066
TMEM55B	863.083	-0.209	0.073	-2.874	0.004	0.013
TMEM56	1161.148	0.428	0.074	5.77	0.0	0.0
TMEM56-RWDD3	41.94	-0.464	0.195	-2.378	0.017	0.044
TMEM57	1423.329	-0.138	0.058	-2.395	0.017	0.043
TMEM59	2744.827	0.256	0.061	4.219	0.0	0.0
TMEM59L	91.759	0.741	0.164	4.52	0.0	0.0
TMEM60	298.806	0.442	0.105	4.209	0.0	0.0
TMEM61	0.08	0.0	0.042	0.0	1.0	
TMEM62	309.096	-0.206	0.102	-2.03	0.042	0.093
TMEM63A	815.204	0.219	0.073	2.984	0.003	0.009
TMEM63B	1021.811	0.044	0.079	0.561	0.575	0.7
TMEM63C	209.659	0.397	0.117	3.386	0.001	0.003
TMEM64	499.778	0.265	0.084	3.175	0.001	0.005
TMEM65	2134.447	0.205	0.073	2.805	0.005	0.015
TMEM66	2253.416	0.006	0.052	0.117	0.907	0.943
TMEM67	309.494	0.142	0.107	1.331	0.183	0.302
TMEM68	389.244	0.268	0.096	2.796	0.005	0.016
TMEM69	1224.979	0.193	0.062	3.113	0.002	0.007
TMEM70	708.286	0.057	0.075	0.752	0.452	0.592
TMEM71	3.93	0.07	0.162	0.432	0.666	0.773
TMEM72	0.503	0.081	0.063	1.289	0.197	
TMEM72-AS1	1.09	0.038	0.094	0.403	0.687	
TMEM74	76.161	0.205	0.168	1.221	0.222	0.349
TMEM74B	225.727	0.743	0.121	6.116	0.0	0.0
TMEM79	221.367	-0.134	0.117	-1.143	0.253	0.385
TMEM80	410.586	0.057	0.092	0.619	0.536	0.667
TMEM81	64.786	-0.197	0.176	-1.119	0.263	0.396
TMEM82	0.134	0.0	0.042	0.0	1.0	
TMEM85	984.229	-0.142	0.065	-2.188	0.029	0.068
TMEM86A	157.972	0.236	0.131	1.801	0.072	0.144
TMEM86B	81.894	-0.257	0.164	-1.568	0.117	0.213
TMEM87A	1042.444	-0.059	0.07	-0.839	0.402	0.543
TMEM87B	627.838	0.639	0.085	7.486	0.0	0.0
TMEM88	3.796	0.271	0.16	1.691	0.091	0.174
TMEM88B	0.358	-0.041	0.06	-0.69	0.49	
TMEM89	0.407	-0.021	0.062	-0.346	0.73	
TMEM8A	867.067	-0.12	0.074	-1.63	0.103	0.192
TMEM8B	485.35	-0.359	0.086	-4.195	0.0	0.0
TMEM8C	0.0					
TMEM9	1718.688	-0.185	0.06	-3.081	0.002	0.007
TMEM91	44.292	0.583	0.189	3.091	0.002	0.007
TMEM92	13.204	0.022	0.206	0.107	0.915	0.948
TMEM93	769.842	0.084	0.081	1.033	0.302	0.439
TMEM95	0.0					
TMEM97	3165.802	0.146	0.049	3.0	0.003	0.009
TMEM98	1290.023	-0.288	0.062	-4.66	0.0	0.0
TMEM99	506.638	-0.254	0.084	-3.041	0.002	0.008
TMEM9B	719.956	-0.247	0.075	-3.312	0.001	0.004
TMF1	1732.93	0.27	0.069	3.892	0.0	0.0
TMIE	7.334	0.094	0.191	0.491	0.623	0.74
TMIGD1	0.216	0.025	0.048	0.525	0.599	
TMIGD2	6.016	-0.054	0.175	-0.308	0.758	0.842
TMLHE	359.529	0.069	0.095	0.731	0.465	0.604
TMOD1	1407.862	0.017	0.061	0.275	0.784	0.859
TMOD2	784.021	-0.065	0.072	-0.902	0.367	0.508
TMOD3	1854.372	-0.038	0.054	-0.697	0.486	0.622
TMOD4	21.952	-0.054	0.208	-0.26	0.795	0.866
TMPO	8113.093	-0.104	0.045	-2.326	0.02	0.05
TMPPE	105.855	-0.221	0.163	-1.359	0.174	0.29
TMPRSS11A	0.407	0.065	0.062	1.042	0.297	
TMPRSS11B	0.167	-0.01	0.042	-0.246	0.806	
TMPRSS11BNL	0.0					
TMPRSS11D	0.0					
TMPRSS11E	0.0					
TMPRSS11F	0.0					
TMPRSS11GP	0.134	0.0	0.042	0.0	1.0	
TMPRSS12	0.271	0.014	0.051	0.278	0.781	
TMPRSS13	18.713	0.115	0.208	0.554	0.58	0.704
TMPRSS15	0.08	0.0	0.042	0.0	1.0	
TMPRSS2	24.194	0.341	0.206	1.656	0.098	0.184
TMPRSS3	0.0					
TMPRSS4	0.734	0.079	0.074	1.063	0.288	
TMPRSS5	27.356	-0.272	0.206	-1.318	0.187	0.307
TMPRSS6	0.62	-0.025	0.073	-0.339	0.735	
TMPRSS7	0.563	-0.05	0.072	-0.696	0.486	
TMPRSS9	10.929	-0.225	0.2	-1.123	0.262	0.394
TMSB10	3825.675	-0.035	0.06	-0.587	0.557	0.686
TMSB15A	547.729	-0.013	0.089	-0.141	0.888	0.931
TMSB15B	435.457	0.093	0.094	0.991	0.322	0.461
TMSB4X	896.884	0.425	0.07	6.073	0.0	0.0
TMSB4Y	0.0					
TMTC1	883.87	0.041	0.068	0.607	0.544	0.674
TMTC2	441.611	0.124	0.093	1.331	0.183	0.302
TMTC3	2066.274	0.029	0.123	0.234	0.815	0.879
TMTC4	609.542	0.206	0.09	2.297	0.022	0.053
TMUB1	1390.391	-0.235	0.077	-3.037	0.002	0.008
TMUB2	940.459	0.001	0.069	0.019	0.985	0.991
TMX1	2103.756	0.282	0.073	3.865	0.0	0.001
TMX2	1497.535	-0.1	0.061	-1.644	0.1	0.188
TMX2-CTNND1	0.745	0.086	0.081	1.061	0.289	
TMX3	1289.855	0.261	0.071	3.697	0.0	0.001
TMX4	1195.184	-0.068	0.067	-1.008	0.313	0.451
TNC	513.6	0.347	0.166	2.086	0.037	0.084
TNF	10.816	0.461	0.202	2.289	0.022	0.054
TNFAIP1	1504.143	0.064	0.056	1.141	0.254	0.386
TNFAIP2	47.337	0.063	0.186	0.339	0.735	0.824
TNFAIP3	292.719	0.277	0.115	2.408	0.016	0.042
TNFAIP6	0.334	-0.018	0.055	-0.325	0.746	
TNFAIP8	688.165	0.254	0.081	3.141	0.002	0.006
TNFAIP8L1	234.215	-0.086	0.121	-0.715	0.475	0.613
TNFAIP8L2	0.08	0.0	0.042	0.0	1.0	
TNFAIP8L2-SCNM1	0.0					
TNFAIP8L3	116.72	-0.189	0.144	-1.317	0.188	0.307
TNFRSF10A	12.336	0.05	0.202	0.248	0.804	0.873
TNFRSF10B	4115.698	0.345	0.05	6.843	0.0	0.0
TNFRSF10C	14.189	-0.183	0.206	-0.887	0.375	0.517
TNFRSF10D	940.405	0.302	0.069	4.381	0.0	0.0
TNFRSF11A	244.598	-0.221	0.111	-1.982	0.047	0.103
TNFRSF11B	9.322	0.062	0.196	0.314	0.753	0.838
TNFRSF12A	291.358	0.494	0.105	4.702	0.0	0.0
TNFRSF13B	0.111	-0.01	0.042	-0.246	0.806	
TNFRSF13C	35.371	0.84	0.201	4.185	0.0	0.0
TNFRSF14	2.01	0.079	0.123	0.641	0.521	
TNFRSF17	0.0					
TNFRSF18	0.379	-0.019	0.057	-0.335	0.738	
TNFRSF19	246.098	0.126	0.108	1.164	0.244	0.375
TNFRSF1A	1269.683	-0.104	0.064	-1.632	0.103	0.192
TNFRSF1B	0.383	0.02	0.061	0.331	0.74	
TNFRSF21	1413.55	0.441	0.065	6.726	0.0	0.0
TNFRSF25	90.784	-0.176	0.174	-1.011	0.312	0.45
TNFRSF4	0.104	0.009	0.042	0.226	0.821	
TNFRSF6B	1.111	-0.028	0.096	-0.287	0.774	
TNFRSF8	5.646	-0.166	0.178	-0.936	0.349	0.49
TNFRSF9	288.741	0.911	0.115	7.918	0.0	0.0
TNFSF10	13.328	0.526	0.205	2.559	0.01	0.029
TNFSF11	0.513	0.025	0.069	0.365	0.715	
TNFSF12	5.764	-0.074	0.177	-0.42	0.675	0.78
TNFSF12-TNFSF13	0.0					
TNFSF13	1.393	0.018	0.109	0.165	0.869	
TNFSF13B	12.223	-0.056	0.204	-0.274	0.784	0.859
TNFSF14	0.461	0.064	0.065	0.989	0.323	
TNFSF15	22.528	-0.307	0.206	-1.489	0.136	0.24
TNFSF18	0.0					
TNFSF4	32.643	-0.14	0.201	-0.699	0.485	0.622
TNFSF8	0.241	-0.028	0.05	-0.571	0.568	
TNFSF9	219.726	0.461	0.115	3.996	0.0	0.0
TNIK	1297.562	0.003	0.061	0.052	0.958	0.974
TNIP1	2221.643	-0.116	0.059	-1.982	0.047	0.103
TNIP2	440.123	-0.441	0.094	-4.668	0.0	0.0
TNIP3	4.333	0.03	0.166	0.181	0.856	0.909
TNK1	0.167	-0.01	0.042	-0.246	0.806	
TNK2	1121.287	-0.028	0.07	-0.395	0.693	0.794
TNKS	1850.653	0.037	0.057	0.653	0.514	0.647
TNKS1BP1	1344.528	0.251	0.063	3.96	0.0	0.0
TNKS2	3591.848	0.044	0.052	0.845	0.398	0.54
TNMD	24.659	-0.042	0.205	-0.205	0.838	0.895
TNN	1.679	-0.057	0.114	-0.496	0.62	
TNNC1	17.891	0.082	0.208	0.394	0.694	0.794
TNNC2	3.503	-0.104	0.154	-0.68	0.497	0.632
TNNI1	0.487	0.042	0.066	0.634	0.526	
TNNI2	0.581	-0.091	0.07	-1.302	0.193	
TNNI3	8.595	-0.041	0.195	-0.213	0.832	0.891
TNNI3K	0.0					
TNNT1	351.318	0.448	0.112	4.011	0.0	0.0
TNNT2	0.0					
TNNT3	0.598	0.102	0.069	1.468	0.142	
TNP1	0.0					
TNP2	0.0					
TNPO1	6722.654	-0.2	0.059	-3.422	0.001	0.003
TNPO2	4294.769	-0.156	0.056	-2.771	0.006	0.017
TNPO3	3180.357	-0.18	0.048	-3.789	0.0	0.001
TNR	0.112	0.009	0.042	0.226	0.821	
TNRC18	2877.762	-0.322	0.056	-5.771	0.0	0.0
TNRC6A	2858.627	-0.074	0.055	-1.343	0.179	0.297
TNRC6B	1680.289	0.233	0.067	3.461	0.001	0.002
TNRC6C	1114.667	0.063	0.072	0.874	0.382	0.523
TNS1	237.678	0.133	0.114	1.164	0.244	0.375
TNS3	407.609	0.015	0.096	0.16	0.873	0.921
TNS4	0.111	-0.01	0.042	-0.246	0.806	
TNXA	0.0					
TNXB	59.906	0.096	0.18	0.534	0.594	0.716
TOB1	2164.116	0.593	0.053	11.113	0.0	0.0
TOB2	1841.668	-0.022	0.064	-0.339	0.735	0.824
TOB2P1	228.635	-0.223	0.116	-1.918	0.055	0.116
TOE1	940.583	-0.307	0.069	-4.46	0.0	0.0
TOLLIP	826.917	-0.26	0.075	-3.463	0.001	0.002
TOM1	544.231	-0.205	0.089	-2.303	0.021	0.053
TOM1L1	1668.606	0.245	0.057	4.294	0.0	0.0
TOM1L2	1059.751	-0.119	0.064	-1.847	0.065	0.132
TOMM20	11176.82	-0.198	0.048	-4.149	0.0	0.0
TOMM20L	2.644	0.048	0.143	0.335	0.737	0.826
TOMM22	2562.912	-0.345	0.061	-5.68	0.0	0.0
TOMM34	1583.204	-0.324	0.067	-4.815	0.0	0.0
TOMM40	2263.068	-0.63	0.065	-9.665	0.0	0.0
TOMM40L	662.907	-0.398	0.074	-5.356	0.0	0.0
TOMM5	1420.818	-0.144	0.064	-2.256	0.024	0.058
TOMM6	2615.305	-0.394	0.056	-7.034	0.0	0.0
TOMM7	1060.08	-0.05	0.071	-0.706	0.48	0.618
TOMM70A	5201.132	-0.064	0.053	-1.201	0.23	0.358
TONSL	1421.201	-0.12	0.069	-1.73	0.084	0.162
TOP1	5188.46	-0.242	0.054	-4.512	0.0	0.0
TOP1MT	734.579	-0.137	0.073	-1.877	0.06	0.125
TOP1P1	938.136	-0.295	0.072	-4.068	0.0	0.0
TOP1P2	0.215	-0.001	0.048	-0.011	0.991	
TOP2A	20470.693	0.27	0.053	5.065	0.0	0.0
TOP2B	8768.535	0.097	0.055	1.757	0.079	0.155
TOP3A	2222.378	-0.128	0.059	-2.169	0.03	0.07
TOP3B	1292.066	-0.05	0.065	-0.767	0.443	0.583
TOPBP1	5649.72	-0.149	0.048	-3.077	0.002	0.007
TOPORS	1224.79	0.145	0.078	1.867	0.062	0.127
TOR1A	1209.872	-0.056	0.065	-0.852	0.394	0.536
TOR1AIP1	1631.502	-0.126	0.06	-2.123	0.034	0.078
TOR1AIP2	3095.803	-0.098	0.053	-1.85	0.064	0.132
TOR1B	709.367	0.149	0.084	1.775	0.076	0.151
TOR2A	489.535	0.066	0.105	0.627	0.531	0.663
TOR3A	825.353	-0.069	0.069	-0.993	0.321	0.46
TOX	22.508	0.589	0.206	2.852	0.004	0.014
TOX2	222.524	0.313	0.119	2.626	0.009	0.025
TOX3	65.275	0.572	0.174	3.28	0.001	0.004
TOX4	1639.424	-0.033	0.057	-0.58	0.562	0.689
TP53	2356.337	-0.048	0.058	-0.814	0.416	0.557
TP53AIP1	2.572	-0.211	0.136	-1.553	0.121	0.218
TP53BP1	1540.533	-0.151	0.06	-2.538	0.011	0.031
TP53BP2	2882.142	-0.173	0.052	-3.338	0.001	0.003
TP53I11	1003.813	0.132	0.082	1.616	0.106	0.197
TP53I13	582.447	-0.076	0.086	-0.878	0.38	0.521
TP53I3	135.362	-0.276	0.146	-1.889	0.059	0.123
TP53INP1	712.013	0.471	0.084	5.621	0.0	0.0
TP53INP2	840.668	0.289	0.072	4.021	0.0	0.0
TP53RK	649.835	-0.168	0.082	-2.038	0.042	0.092
TP53TG1	128.115	0.191	0.139	1.375	0.169	0.284
TP53TG3	0.0					
TP53TG3B	0.0					
TP53TG3C	0.0					
TP53TG5	0.676	0.026	0.078	0.334	0.739	
TP63	11.762	-0.041	0.202	-0.202	0.84	0.897
TP73	671.253	-0.431	0.08	-5.397	0.0	0.0
TP73-AS1	3054.106	-0.311	0.05	-6.183	0.0	0.0
TPBG	897.612	0.362	0.07	5.146	0.0	0.0
TPCN1	686.543	-0.066	0.08	-0.818	0.413	0.555
TPCN2	410.894	-0.237	0.089	-2.65	0.008	0.023
TPD52	2411.547	0.03	0.062	0.487	0.626	0.742
TPD52L1	1080.995	0.127	0.068	1.866	0.062	0.128
TPD52L2	1892.312	-0.368	0.055	-6.723	0.0	0.0
TPD52L3	0.0					
TPGS1	172.183	-0.247	0.125	-1.968	0.049	0.106
TPGS2	3279.255	-0.325	0.053	-6.111	0.0	0.0
TPH1	34.95	-0.702	0.2	-3.512	0.0	0.002
TPH2	0.567	0.021	0.072	0.299	0.765	
TPI1	11927.071	-0.358	0.059	-6.071	0.0	0.0
TPI1P2	109.614	0.418	0.149	2.806	0.005	0.015
TPI1P3	13.231	0.009	0.205	0.044	0.965	0.978
TPK1	147.637	0.477	0.132	3.61	0.0	0.001
TPM1	1244.464	-0.117	0.06	-1.944	0.052	0.11
TPM2	151.023	0.032	0.134	0.236	0.814	0.879
TPM3	6289.204	-0.377	0.048	-7.855	0.0	0.0
TPM4	4390.051	-0.179	0.045	-4.006	0.0	0.0
TPMT	1024.139	-0.079	0.072	-1.103	0.27	0.404
TPO	0.607	-0.047	0.07	-0.673	0.501	
TPP1	1359.796	-0.086	0.065	-1.32	0.187	0.306
TPP2	1505.034	0.103	0.061	1.677	0.094	0.178
TPPP	585.681	-0.01	0.077	-0.13	0.896	0.937
TPPP2	0.112	0.009	0.042	0.226	0.821	
TPPP3	55.41	0.046	0.177	0.258	0.796	0.867
TPR	8515.205	-0.008	0.049	-0.166	0.868	0.916
TPRA1	770.825	0.07	0.077	0.908	0.364	0.505
TPRG1	2.59	0.016	0.138	0.114	0.909	0.945
